term,tf
the,133255
is,61400
of,61288
and,55936
are,32747
normal,29856
in,25337
with,25072
to,23944
no,20102
there,19012
left,16427
right,15664
nsa,14589
or,13167
cm,13031
small,12979
mild,12451
pulmonary,11924
on,11284
soft,9180
lateral,9173
bladder,8698
tissue,8545
size,7942
at,7839
urinary,7703
mildly,7587
wall,7362
for,7272
liver,7215
within,7123
evidence,7063
gas,6897
cranial,6837
caudal,6704
likely,6640
identified,6591
images,6366
present,6331
noted,6268
this,6138
be,6052
spleen,5806
abdomen,5721
thorax,5657
material,5581
stomach,5571
moderate,5558
fluid,5543
abnormalities,5375
abdominal,5200
space,4990
adrenal,4950
pleural,4895
mass,4774
lymph,4743
study,4595
disease,4577
colon,4503
structures,4451
contains,4418
findings,4303
hyperechoic,4286
aspect,4233
an,4185
thoracic,4122
amount,4110
view,4104
lung,4036
views,3999
nodes,3831
not,3805
enlarged,3765
cardiac,3671
kidneys,3628
tract,3573
pattern,3518
distended,3483
unremarkable,3424
thickness,3405
opacity,3393
moderately,3392
included,3326
parenchyma,3309
kidney,3285
pancreas,3232
may,3172
consistent,3164
intestinal,3116
gastric,3112
peritoneal,3091
silhouette,3047
margins,3030
nodules,3014
renal,3011
ventrodorsal,2999
effusion,2935
total,2910
volume,2878
as,2836
intestine,2780
dorsal,2756
diameter,2752
patient,2732
osseous,2703
secondary,2690
ventral,2689
significant,2679
that,2622
gallbladder,2608
other,2607
from,2594
available,2594
diffusely,2557
radiographs,2537
considered,2524
mediastinum,2515
chronic,2503
most,2467
bowel,2443
lobe,2434
along,2410
large,2405
lymphadenopathy,2395
up,2370
vasculature,2370
performed,2368
mineral,2360
hypoechoic,2343
metastatic,2326
changes,2319
region,2254
similar,2229
incidental,2208
joint,2204
foreign,2182
ultrasound,2177
shape,2173
opaque,2149
serosal,2121
debris,2117
medial,2111
bilateral,2101
given,2081
less,2079
nodule,2077
bronchial,2060
detail,2057
mm,2055
trachea,2038
layering,2034
radiographic,2024
neoplasia,2020
diffuse,2017
echogenic,2000
represent,1995
vs,1989
disc,1987
bilaterally,1983
intervertebral,1980
could,1959
throughout,1957
severe,1953
lumen,1942
fat,1935
thickening,1930
distal,1923
glands,1909
body,1889
limits,1852
fecal,1847
level,1840
opposite,1836
heterogeneous,1832
prior,1829
radiology,1813
but,1792
gastrointestinal,1781
splenic,1723
echogenicity,1719
vd,1700
interpretation,1696
compared,1684
conclusive,1651
th,1651
due,1638
both,1623
bone,1615
peritoneum,1609
image,1609
obstruction,1604
reported,1603
proximal,1580
ultrasonographic,1570
gall,1562
multifocal,1561
dated,1549
dvm,1540
anechoic,1525
